trade_id,pair,session_id,direction,bars_since_entry,z_score,spread,sigma_rolling
1,ZC_ZW,20230822,LONG,73,-0.329956,-0.00009819,0.00205812
1,ZC_ZW,20230822,LONG,74,-0.285012,0.00003780,0.00190553
1,ZC_ZW,20230822,LONG,75,-0.414533,-0.00014589,0.00175326
1,ZC_ZW,20230822,LONG,76,-0.389757,-0.00000245,0.00149670
1,ZC_ZW,20230822,LONG,77,-0.066643,0.00050055,0.00120568
1,ZC_ZW,20230822,LONG,78,0.505864,0.00101188,0.00085198
1,ZC_ZW,20230822,LONG,79,0.181576,0.00073203,0.00083233
1,ZC_ZW,20230822,LONG,80,-0.543949,0.00022138,0.00066094
1,ZC_ZW,20230822,LONG,81,-1.146182,-0.00014589,0.00063409
1,ZC_ZW,20230822,LONG,82,-2.500602,-0.00111326,0.00067750
1,ZC_ZW,20230822,LONG,83,-3.230050,-0.00180771,0.00073949
1,ZC_ZW,20230822,LONG,84,-2.866695,-0.00167025,0.00078528
1,ZC_ZW,20230822,LONG,85,-3.192619,-0.00208579,0.00083527
1,ZC_ZW,20230822,LONG,86,-2.937069,-0.00208579,0.00090794
1,ZC_ZW,20230822,LONG,87,-1.756217,-0.00102369,0.00091366
1,ZC_ZW,20230822,LONG,88,-1.746431,-0.00102369,0.00091878
1,ZC_ZW,20230822,LONG,89,-2.045107,-0.00129752,0.00091849
1,ZC_ZW,20230822,LONG,90,-1.140120,-0.00046592,0.00091816
1,ZC_ZW,20230822,LONG,91,-0.738709,-0.00009819,0.00091929
1,ZC_ZW,20230822,LONG,92,-1.190834,-0.00051356,0.00091907
1,ZC_ZW,20230822,LONG,93,-1.796453,-0.00107081,0.00091943
1,ZC_ZW,20230822,LONG,94,-1.859828,-0.00111782,0.00091337
1,ZC_ZW,20230822,LONG,95,-2.542825,-0.00180771,0.00093935
1,ZC_ZW,20230822,LONG,96,-1.235441,-0.00056108,0.00092435
1,ZC_ZW,20230822,LONG,97,-1.302537,-0.00056108,0.00087674
1,ZC_ZW,20230822,LONG,98,-1.917149,-0.00088163,0.00076287
1,ZC_ZW,20230822,LONG,99,-2.011850,-0.00074504,0.00065906
1,ZC_ZW,20230822,LONG,100,-3.750497,-0.00171358,0.00061178
1,ZC_ZW,20230822,LONG,101,-3.860579,-0.00166635,0.00058210
1,ZC_ZW,20230822,LONG,102,-3.792618,-0.00166635,0.00059253
1,ZC_ZW,20230822,LONG,103,-4.414133,-0.00212981,0.00061410
1,ZC_ZW,20230822,LONG,104,-3.965689,-0.00189812,0.00062512
